,dat.caseS,dat.caseE,diff
86,10:30am,11:10am,
87,10:35am,11:20am,
88,10:40am,11:20am,
89,10:45am,11:25am,
90,10:50am,11:35am,
91,11:00am,11:40am,
92,10:20am,12:00pm,
93,6:40pm,7:40pm,
94,7:10pm,7:50pm,
95,12:00pm,12:30pm,
96,12:00am,11:59pm,
97,5:40pm,6:20pm,
98,3:20pm,4:20pm,
99,3:30pm,4:20pm,
100,7:45am,5:00pm,
101,4:00pm,5:15pm,
102,4:10pm,5:15pm,
103,12:40pm,1:20pm,
104,1:40pm,2:20pm,
105,4:45pm,5:40pm,
106,5:40pm,6:20pm,
107,4:20pm,5:20pm,
108,5:30am,12:30pm,
109,9:50am,10:40am,
110,5:10pm,6:00pm,
111,7:15pm,8:00pm,
112,7:00pm,8:00pm,
113,10:00am,10:50am,
114,10:50am,11:40am,
115,12:00am,11:59pm,
116,10:25am,11:45am,
117,9:45am,10:30am,
118,2:15pm,3:00pm,
119,2:00pm,6:00pm,
120,8:40am,10:00am,
121,1:10pm,2:20pm,
122,9:20am,10:00am,
123,11:30am,12:45pm,
124,8:00am,5:00pm,
125,12:40pm,1:25pm,
126,5:50pm,6:40pm,
127,7:50pm,8:45pm,
128,7:20pm,8:00pm,
129,3:35pm,4:35pm,
130,9:35am,10:25am,
131,1:30pm,3:00pm,
132,1:45pm,2:40pm,
133,7:55pm,8:40pm,
134,7:00am,3:00pm,
135,8:00am,12:00pm,
136,12:00am,11:59pm,
137,4:30pm,5:20pm,
138,10:50am,11:50am,
139,10:20am,11:10am,
140,10:20am,11:10am,
141,8:00am,5:00pm,
142,6:35pm,7:00pm,
143,3:30pm,11:00pm,
144,6:15pm,7:30pm,
145,12:30pm,1:20pm,
146,12:00am,11:59pm,
147,6:05pm,6:55pm,
148,11:30am,12:30pm,
149,12:05pm,1:00pm,
150,12:30pm,2:00pm,
151,12:30pm,2:00pm,
152,11:15am,12:45pm,
153,7:00pm,7:50pm,
154,11:05am,11:45am,
155,11:05am,11:45am,
156,11:10am,12:00pm,
157,1:25pm,2:10pm,
158,10:40am,11:30am,
159,5:10pm,5:50pm,
160,12:20pm,1:10pm,
161,12:40pm,1:30pm,
162,2:10pm,2:45pm,
163,2:41pm,3:03pm,
164,4:38pm,4:48pm,
165,3:35pm,3:54pm,
166,2:10pm,3:00pm,
167,7:30pm,9:00pm,
168,3:30pm,4:30pm,
169,1:50pm,2:45pm,
170,3:00pm,4:10pm,
171,12:30pm,2:00pm,
172,12:30pm,2:00pm,
173,12:10am,12:50am,
174,6:10pm,7:00pm,
175,8:40am,10:00am,
176,4:00pm,4:40pm,
177,5:35pm,7:45pm,
178,5:10pm,6:15pm,
179,3:00pm,3:45pm,
180,2:00pm,10:00pm,
181,4:00pm,5:30pm,
182,4:15pm,5:30pm,
183,12:20pm,1:10pm,
184,12:40pm,2:00pm,
185,9:50am,11:00am,
186,10:20am,11:30am,
187,9:35am,10:30am,
188,1:10pm,2:20pm,
189,5:00pm,6:00pm,
190,5:10pm,6:00pm,
191,5:20pm,5:50pm,
192,5:20pm,6:15pm,
193,3:50am,6:00pm,
194,12:00pm,2:00pm,
195,8:00am,5:00pm,
196,8:00am,5:00pm,
197,10:45am,4:30pm,
198,4:00pm,10:30pm,
199,8:30am,9:30am,
200,11:55am,12:50pm,
201,2:40pm,3:35pm,
202,10:10am,11:10am,
203,10:30am,11:15am,
204,10:00am,10:45am,
205,6:20pm,7:30pm,
206,10:35am,11:30am,
207,9:20am,10:00am,
208,11:30am,12:45pm,
209,3:40pm,4:30pm,
210,4:15pm,5:00pm,
211,5:40pm,6:30pm,
212,3:50pm,4:40pm,
213,5:20am,6:00pm,
214,10:00am,10:40am,
215,8:00am,2:00pm,
216,8:00am,2:00pm,
217,2:10pm,3:00pm,
218,2:20pm,3:20pm,
219,2:40pm,3:30pm,
220,9:40am,4:30pm,
221,4:00pm,10:30pm,
222,5:40pm,6:50pm,
223,6:20pm,7:10pm,
224,2:30pm,4:00pm,
225,1:40pm,3:30pm,
226,11:40am,12:30pm,
227,5:20am,5:30pm,
228,10:15am,11:10am,
229,10:55am,11:35am,
230,11:00am,11:40am,
231,3:00pm,3:45pm,
232,8:30pm,9:20pm,
233,12:00am,11:59pm,
234,12:00am,11:59pm,
235,6:50pm,7:30pm,
236,7:40pm,8:10pm,
237,4:15pm,5:15pm,
238,3:00pm,4:00pm,
239,9:25am,10:05am,
240,10:20am,11:30am,
241,7:30pm,8:30pm,
242,2:40pm,3:30pm,
243,2:50pm,3:45pm,
244,4:00pm,5:40pm,
245,5:00pm,5:50pm,
246,5:15pm,6:00pm,
247,5:00pm,6:30pm,
248,5:30am,12:30pm,
249,10:00am,11:00am,
250,8:50am,6:00pm,
251,7:50am,8:30am,
252,4:40pm,5:30pm,
253,7:45am,5:00pm,
254,11:20am,12:05pm,
255,8:40am,9:30am,
